advertiser_id,party_all_clf
AR01018549707540004865,REP
AR01021068482520809473,REP
AR01026451691450400769,DEM
AR01028295778608611329,DEM
AR01031799716007903233,DEM
AR01034788394770628609,DEM
AR01043023530704240641,REP
AR01045289830327517185,DEM
AR01048834449657036801,REP
AR01049053527348871169,REP
AR01057451528442347521,DEM
AR01058060726603612161,DEM
AR01061164579209347073,DEM
AR01062480488469364737,DEM
AR01069336699382792193,REP
AR01070320212533837825,REP
AR01070986860177653761,DEM
AR01071171028375306241,REP
AR01072332112654237697,REP
AR01073377404614868993,DEM
AR01075791725991034881,DEM
AR01076818326253993985,REP
AR01076835712281608193,DEM
AR01077319703556259841,REP
AR01077477827072229377,REP
AR01080015774787043329,REP
AR01080419020676530177,DEM
AR01082714800955326465,REP
AR01086208224274677761,DEM
AR01086833571512975361,DEM
AR01090346511163719681,DEM
AR01093194452438089729,DEM
AR01094089523622576129,DEM
AR01094850110791090177,REP
AR01095358291321552897,REP
AR01112864509300572161,REP
AR01124626260060798977,REP
AR01126044561341153281,DEM
AR01127914830620000257,REP
AR01129717823531122689,REP
AR01131969623344807937,REP
AR01135382507437424641,REP
AR01136815377246846977,DEM
AR01139886107064795137,REP
AR01146018358290808833,DEM
AR01146109549036437505,DEM
AR01146173114552418305,DEM
AR01148431717594300417,DEM
AR01148893306319536129,DEM
AR01154104647837810689,REP
AR01155648705760591873,REP
AR01156151457452392449,DEM
AR01165928039968669697,REP
AR01166124508952657921,REP
AR01171789467736866817,DEM
AR01172038232242651137,DEM
AR01172739170905358337,DEM
AR01172819778851569665,DEM
AR01174203376796172289,DEM
AR01176442600945614849,REP
AR01179257419432198145,REP
AR01189961371287027713,DEM
AR01202936501847982081,DEM
AR01205796331591827457,DEM
AR01209691901289037825,DEM
AR01212463976261091329,DEM
AR01217437960706719745,REP
AR01218407729962418177,DEM
AR01220950900357464065,DEM
AR01227706299798519809,DEM
AR01235952911884746753,REP
AR01237985634006597633,DEM
AR01239368269878525953,REP
AR01240865461118173185,DEM
AR01242624473564184577,DEM
AR01243468898494316545,DEM
AR01251715510580543489,DEM
AR01252476097749057537,DEM
AR01252668718442348545,REP
AR01252893843448135681,DEM
AR01255818613097496577,DEM
AR01260183330662383617,DEM
AR01263384009010839553,DEM
AR01263735096817483777,REP
AR01272119147857182721,DEM
AR01274233508717395969,DEM
AR01284001295140651009,DEM
AR01284352795264155649,REP
AR01293008494395392001,DEM
AR01299763893836447745,DEM
AR01300123983894544385,DEM
AR01301351245029572609,REP
AR01306519293277503489,DEM
AR01308010505922674689,REP
AR01310484132207263745,DEM
AR01317778292345929729,REP
AR01323773104618471425,DEM
AR01324533691786985473,REP
AR01326024904432156673,REP
AR01335792690855411713,DEM
AR01337538646600843265,DEM
AR01338409803407425537,DEM
AR01363179601357963265,REP
AR01364305501264805889,DEM
AR01365066088433319937,DEM
AR01370227196014100481,DEM
AR01371821487874375681,REP
AR01373133961160556545,REP
AR01374073287688060929,DEM
AR01375697472520716289,DEM
AR01378576887315431425,REP
AR01379145884582805505,REP
AR01382319899774287873,DEM
AR01383708857838075905,DEM
AR01386739661640040449,REP
AR01387584086570172417,DEM
AR01390338638075658241,DEM
AR01390409419136696321,DEM
AR01393359821150879745,REP
AR01395423604476215297,DEM
AR01397678702824783873,DEM
AR01397937294215741441,DEM
AR01400334298283769857,REP
AR01405238601179987969,REP
AR01405598485079654401,DEM
AR01406747680889110529,REP
AR01412062170341965825,REP
AR01413845097165881345,DEM
AR01419155463450132481,DEM
AR01419213393969020929,REP
AR01422209356996280321,REP
AR01429517467188723713,DEM
AR01429607695861678081,REP
AR01432985395582205953,REP
AR01433965816356798465,DEM
AR01437123682471247873,DEM
AR01446130881725988865,REP
AR01447982390587686913,DEM
AR01450588508023422977,DEM
AR01451721898353229825,REP
AR01456553152445677569,DEM
AR01457408572492087297,DEM
AR01459614192817405953,DEM
AR01461893480421785601,DEM
AR01464323950874984449,REP
AR01464672152463605761,DEM
AR01467888292694327297,DEM
AR01468648879862841345,REP
AR01470000179653378049,REP
AR01470058659928080385,REP
AR01470077626503659521,REP
AR01482159678744952833,DEM
AR01482326735792898049,REP
AR01491166877999693825,DEM
AR01508420689340661761,DEM
AR01511303540109213697,REP
AR01511579311369355265,DEM
AR01531699274646028289,DEM
AR01533951074459713537,DEM
AR01536730639854731265,DEM
AR01537361965687504897,DEM
AR01538982439668416513,REP
AR01545536628481589249,REP
AR01551965472969195521,REP
AR01554582585521209345,DEM
AR01557122182503464961,REP
AR01558082262312943617,REP
AR01559095805875322881,REP
AR01560173533428973569,REP
AR01562066686293573633,DEM
AR01562463884869107713,DEM
AR01574083180154060801,REP
AR01583119241589030913,DEM
AR01586518175627870209,DEM
AR01596008816401448961,REP
AR01606008668497641473,DEM
AR01608260468311326721,REP
AR01611602983659765761,REP
AR01620602486333112321,DEM
AR01622299032774770689,REP
AR01624023067007123457,DEM
AR01626640179559137281,DEM
AR01627547001774145537,DEM
AR01628290271634522113,DEM
AR01634218838331490305,DEM
AR01637225659036073985,DEM
AR01637396976691576833,REP
AR01651547416463147009,REP
AR01659902880200523777,DEM
AR01662668976578101249,REP
AR01663538621556195329,DEM
AR01664659573660712961,DEM
AR01670729427601850369,DEM
AR01674065414599999489,DEM
AR01674271847908114433,DEM
AR01675723203256778753,DEM
AR01677121782047309825,DEM
AR01677653602077769729,DEM
AR01688564674435481601,DEM
AR01689325261603995649,DEM
AR01698332460858736641,REP
AR01704891253876850689,REP
AR01706178575834546177,REP
AR01707842411805278209,DEM
AR01710154066283200513,REP
AR01712173869143425025,DEM
AR01716346859368218625,DEM
AR01716973787154481153,REP
AR01722344901456166913,DEM
AR01723169535176998913,DEM
AR01725719371361288193,REP
AR01732109458064015361,REP
AR01736447237594021889,REP
AR01737848359005192193,REP
AR01740638575919104001,DEM
AR01743368457132441601,REP
AR01749054237918101505,REP
AR01750123856573497345,REP
AR01751768382371266561,REP
AR01756744016084336641,REP
AR01758363596712050689,REP
AR01761302797451526145,REP
AR01764657751025254401,DEM
AR01768138255082979329,DEM
AR01771881267541835777,REP
AR01774659664705748993,DEM
AR01774893654524035073,REP
AR01779243528681947137,DEM
AR01783056428848644097,DEM
AR01783900853778776065,DEM
AR01786152653592461313,DEM
AR01787279859169361921,DEM
AR01788006636355321857,DEM
AR01791943987494387713,DEM
AR01792063628103385089,REP
AR01793898713010143233,DEM
AR01796651065492373505,REP
AR01798502368195641345,DEM
AR01806418851915628545,DEM
AR01810158497120124929,DEM
AR01821783633560600577,REP
AR01829020687814098945,DEM
AR01830323540373536769,DEM
AR01832279365400920065,REP
AR01835489046000828417,REP
AR01840195849120907265,DEM
AR01842447648934592513,REP
AR01847952560057483265,DEM
AR01847977299069108225,DEM
AR01855744249207717889,REP
AR01860462047444074497,REP
AR01861514280071856129,DEM
AR01869226460787507201,DEM
AR01869469246698815489,REP
AR01873128421396054017,DEM
AR01876742722274983937,DEM
AR01883605667697131521,REP
AR01887483645208297473,REP
AR01889507846115033089,REP
AR01890238196713783297,DEM
AR01894387478719102977,REP
AR01898594416365404161,REP
AR01906105523892125697,REP
AR01914870555710849025,REP
AR01918504372921171969,REP
AR01920662508088066049,DEM
AR01940633143941791745,REP
AR01941526840736743425,DEM
AR01945269853195599873,REP
AR01945282222701412353,DEM
AR01948282240177799169,DEM
AR01951524699968110593,REP
AR01952494469223809025,DEM
AR01955402952357183489,DEM
AR01956424329939910657,DEM
AR01960542550741745665,DEM
AR01963200413943463937,REP
AR01966661951425609729,DEM
AR01968548438500966401,DEM
AR01971890953849405441,DEM
AR01972836740007723009,REP
AR01972916798198120449,DEM
AR01974921757651369985,DEM
AR01976795050587193345,REP
AR01977555637755707393,DEM
AR01982059237383077889,DEM
AR01984311037196763137,REP
AR01996660751799943169,REP
AR01999999968613498881,REP
AR02003987003934244865,REP
AR02009446147885629441,DEM
AR02010364171375345665,DEM
AR02013584434774671361,DEM
AR02028948666663829505,DEM
AR02042080683790172161,DEM
AR02042254956383174657,DEM
AR02042779973185437697,REP
AR02043607355685339137,DEM
AR02045109632166264833,DEM
AR02045966151724302337,REP
AR02049464247968071681,DEM
AR02050911961184468993,DEM
AR02059611091025002497,DEM
AR02059962934745890817,REP
AR02067921199907733505,REP
AR02072131229930487809,REP
AR02081138429185228801,REP
AR02085642028812599297,DEM
AR02092397428253655041,DEM
AR02096398757225562113,REP
AR02103656427322081281,DEM
AR02106327347224379393,REP
AR02110777139501465601,DEM
AR02110914578454937601,DEM
AR02111903039408308225,DEM
AR02116006141925261313,REP
AR02119125662571692033,REP
AR02120697208285167617,DEM
AR02120910238663049217,DEM
AR02121670825831563265,REP
AR02124450391226580993,DEM
AR02128426225272619009,REP
AR02129366307714367489,REP
AR02135195918364835841,REP
AR02137429232639279105,REP
AR02138265960988016641,REP
AR02138524140062113793,DEM
AR02138924637172531201,REP
AR02149942224719183873,REP
AR02152034938944225281,REP
AR02157699622850527233,DEM
AR02160479188245544961,DEM
AR02164455022291582977,DEM
AR02169898704360701953,DEM
AR02175613072448684033,DEM
AR02177228804785700865,DEM
AR02179896563592069121,DEM
AR02188464233073606657,DEM
AR02193728419869491201,REP
AR02204362621455433729,DEM
AR02224092532982153217,REP
AR02225098586121568257,DEM
AR02234260816515825665,DEM
AR02236512616329510913,REP
AR02239491399487586305,REP
AR02241430388243169281,DEM
AR02243130782975524865,DEM
AR02245885128322580481,REP
AR02247011028229423105,DEM
AR02250229023886016513,DEM
AR02261686965839593473,REP
AR02262273074256674817,DEM
AR02265750760815853569,DEM
AR02272541413348474881,REP
AR02274632890622935041,REP
AR02276909773045628929,DEM
AR02291671472562765825,DEM
AR02292882034864947201,DEM
AR02300052293787058177,DEM
AR02301814810926383105,DEM
AR02304810980112072705,DEM
AR02305557823385239553,DEM
AR02306318410553753601,REP
AR02311912725715877889,DEM
AR02314481184878362625,REP
AR02315325609808494593,DEM
AR02318558380152586241,DEM
AR02323488384133103617,REP
AR02326309387372593153,DEM
AR02326584608876920833,REP
AR02328836408690606081,DEM
AR02329827068667232257,DEM
AR02332178924039045121,REP
AR02333340008317976577,DEM
AR02335456568201445377,REP
AR02337800933150294017,REP
AR02342329821545103361,REP
AR02357349219100000257,REP
AR02358602937233571841,DEM
AR02360889371663532033,DEM
AR02367604295332790273,REP
AR02368524380406808577,REP
AR02369368805336940545,REP
AR02380627804405366785,DEM
AR02380673983893733377,DEM
AR02387383203846422529,REP
AR02390360612614963201,REP
AR02394967635054821377,REP
AR02395418640980639745,DEM
AR02400894002728534017,DEM
AR02403528432588685313,REP
AR02404637015187390465,DEM
AR02404665258892328961,DEM
AR02405865650711953409,REP
AR02408474242048851969,DEM
AR02408729672343879681,DEM
AR02415007540141096961,DEM
AR02423276760935170049,REP
AR02423412000865386497,DEM
AR02423798479202549761,DEM
AR02425528560748855297,REP
AR02433745967057469441,REP
AR02433910412765298689,DEM
AR02434070322987663361,REP
AR02440265315095937025,DEM
AR02450904395764727809,DEM
AR02457993290826383361,REP
AR02467603572208959489,DEM
AR02470699796952776705,DEM
AR02472686820622598145,DEM
AR02476694609225318401,DEM
AR02480072308945846273,DEM
AR02481958796021202945,DEM
AR02486965147340374017,DEM
AR02488714195462258689,REP
AR02490622054294880257,DEM
AR02493751264387530753,DEM
AR02496839792549953537,DEM
AR02500461583851847681,DEM
AR02504348907211849729,REP
AR02504476794158055425,REP
AR02505467454134681601,DEM
AR02517227005871652865,REP
AR02518986155756617729,DEM
AR02524372663221092353,DEM
AR02524793776174530561,DEM
AR02525521377994211329,DEM
AR02525550240174440449,DEM
AR02531863704660606977,DEM
AR02536237493196423169,DEM
AR02538686655347294209,DEM
AR02540921412730748929,REP
AR02542028071184105473,DEM
AR02544843370707025921,DEM
AR02547555865892749313,REP
AR02548351706152828929,DEM
AR02553255802890616833,DEM
AR02554016390059130881,REP
AR02557237959128514561,REP
AR02560771789500186625,DEM
AR02566766601772728321,REP
AR02573908548270424065,DEM
AR02576534388195983361,DEM
AR02586704870752911361,REP
AR02587030532353163265,REP
AR02587123784683094017,DEM
AR02590045187078094849,DEM
AR02612563185214947329,REP
AR02614814985028632577,REP
AR02617066784842317825,DEM
AR02619098613610971137,REP
AR02620809797301174273,REP
AR02621429646981332993,DEM
AR02630577583724429313,DEM
AR02632829383538114561,DEM
AR02636709834950443009,REP
AR02639144634730676225,REP
AR02641982817839349761,DEM
AR02644008118257713153,DEM
AR02647747557303779329,DEM
AR02648591982233911297,REP
AR02649428710582648833,DEM
AR02653095581861281793,REP
AR02654596964989009921,REP
AR02656754756558520321,DEM
AR02661342193947508737,REP
AR02662102781116022785,DEM
AR02665761955813261313,REP
AR02666971693481721857,DEM
AR02668106045884203009,DEM
AR02668858180557078529,DEM
AR02674194316645105665,DEM
AR02687237891804889089,DEM
AR02692020698666237953,DEM
AR02693627978507616257,REP
AR02693992947648561153,REP
AR02696970493856055297,DEM
AR02697370990966472705,DEM
AR02698131578134986753,REP
AR02698189508653875201,DEM
AR02701551609053184001,REP
AR02701848477192683521,REP
AR02704886977576042497,DEM
AR02706817719994417153,DEM
AR02711642377017098241,DEM
AR02715385389475954689,DEM
AR02719805151341707265,REP
AR02720494545132322817,REP
AR02725153175899209729,DEM
AR02726290826836574209,REP
AR02726644388544380929,DEM
AR02726971974289981441,DEM
AR02734160375153950721,REP
AR02736777487705964545,DEM
AR02737095177846915073,REP
AR02738663974781321217,DEM
AR02740915774595006465,DEM
AR02747572767745376257,REP
AR02749162386681233409,REP
AR02756678373290803201,DEM
AR02756698920414347265,REP
AR02758930173104488449,REP
AR02763367733314715649,REP
AR02767632464040951809,REP
AR02773506055156531201,DEM
AR02773848346870153217,DEM
AR02774418993404968961,DEM
AR02776944571613970433,DEM
AR02782746350876360705,DEM
AR02810096152861474817,DEM
AR02810153327466119169,DEM
AR02815487058372460545,DEM
AR02815590481184948225,DEM
AR02819728768073990145,REP
AR02820562953802088449,DEM
AR02823471780532846593,DEM
AR02824166328284217345,DEM
AR02827891542398599169,REP
AR02828644707863625729,REP
AR02831353079880744961,DEM
AR02836179661048774657,REP
AR02841486179042328577,REP
AR02849002165651898369,DEM
AR02851253965465583617,DEM
AR02857304784111665153,REP
AR02859100080441393153,REP
AR02859937358545944577,DEM
AR02860371047163625473,DEM
AR02863920339417563137,REP
AR02874137276340764673,DEM
AR02890625277832986625,DEM
AR02899949136436527105,DEM
AR02900424056740249601,REP
AR02905662473732358145,REP
AR02907050538442948609,DEM
AR02909040173452886017,DEM
AR02911176455826178049,REP
AR02917963534946009089,DEM
AR02920553640743665665,REP
AR02930497898783178753,DEM
AR02936822358385623041,REP
AR02937350123966955521,REP
AR02938157371660173313,DEM
AR02940394671664267265,DEM
AR02942706394861666305,DEM
AR02943858889206005761,REP
AR02943943070565007361,REP
AR02945068970471849985,DEM
AR02945829557640364033,REP
AR02949572570099220481,DEM
AR02950333157267734529,DEM
AR02952327671360520193,DEM
AR02953089839076999169,DEM
AR02955202069633433601,DEM
AR02956911191739334657,REP
AR02960331016499101697,DEM
AR02965335168795017217,REP
AR02968347555777216513,DEM
AR02971102107282702337,REP
AR02972006730474455041,REP
AR02975089211322925057,DEM
AR02976653266613436417,DEM
AR02993117353727754241,DEM
AR02995734466279768065,DEM
AR03003615765627666433,REP
AR03005469473512620033,REP
AR03011626738628165633,REP
AR03011680958295310337,DEM
AR03018092760352686081,REP
AR03021411086445314049,REP
AR03029146150746718209,REP
AR03035901550187773953,DEM
AR03036102211059843073,REP
AR03043159701320630273,DEM
AR03046561315419062273,DEM
AR03047661857838989313,REP
AR03051707235995484161,DEM
AR03063082577138024449,DEM
AR03064592412761391105,REP
AR03065174947765682177,REP
AR03067792060317696001,DEM
AR03071930347206737921,DEM
AR03072282122208149505,REP
AR03076433946834108417,DEM
AR03078830882182660097,DEM
AR03083877640554151937,REP
AR03094448345343590401,DEM
AR03097205027152855041,REP
AR03101203744784646145,REP
AR03111702156684558337,DEM
AR03116179849069199361,REP
AR03121469943107813377,DEM
AR03122742078061150209,DEM
AR03124812458456252417,REP
AR03129716555194040321,DEM
AR03136609393588568065,DEM
AR03137029132152471553,REP
AR03142102484961460225,DEM
AR03143227354076151809,DEM
AR03150780380483682305,DEM
AR03152995140499406849,DEM
AR03156519075266428929,DEM
AR03162367652492476417,REP
AR03163082609928437761,REP
AR03166356955555954689,REP
AR03166505939381518337,REP
AR03173261338822574081,DEM
AR03180899852259164161,REP
AR03182758920263303169,DEM
AR03183327367774863361,DEM
AR03186011550536171521,DEM
AR03189023937518370817,DEM
AR03197270549604597761,DEM
AR03206445905418911745,REP
AR03209290135841538049,REP
AR03220746703405580289,DEM
AR03224236003556327425,DEM
AR03227844806877118465,DEM
AR03233125348908466177,DEM
AR03237320741682675713,REP
AR03237719108489314305,DEM
AR03242222708116684801,DEM
AR03245318932860502017,DEM
AR03247732567041900545,DEM
AR03247778196774453249,REP
AR03252242763739037697,REP
AR03256577931928928257,DEM
AR03261486907749564417,DEM
AR03263333331369984001,REP
AR03265587330206924801,DEM
AR03270088730811039745,DEM
AR03273831743269896193,REP
AR03278251505135648769,DEM
AR03283599529693151233,DEM
AR03283845751578296321,REP
AR03285141044995293185,REP
AR03293879963412856833,REP
AR03299108897117175809,REP
AR03307045790521753601,REP
AR03308096099004186625,DEM
AR03310621127457374209,REP
AR03314325931887165441,REP
AR03317376526898429953,REP
AR03324131926339485697,DEM
AR03325317749630042113,DEM
AR03332294700664094721,REP
AR03336387289101107201,DEM
AR03336835683686809601,REP
AR03339144108349325313,REP
AR03340422290616614913,REP
AR03342945875960791041,DEM
AR03351153524103708673,DEM
AR03353405323917393921,REP
AR03355234842546536449,DEM
AR03356891531691687937,REP
AR03360160723358449665,REP
AR03363098274830483457,REP
AR03369981217620361217,DEM
AR03376288634792574977,DEM
AR03382678721495302145,DEM
AR03389434120936357889,DEM
AR03391685920750043137,DEM
AR03399220873935192065,REP
AR03399932532836270081,OTHER
AR03405196719632154625,DEM
AR03407694741330984961,REP
AR03413700342561374209,REP
AR03414271195254620161,REP
AR03419352382083956737,DEM
AR03419979653467602945,REP
AR03420573389746601985,DEM
AR03420586790044565505,DEM
AR03425462917955321857,REP
AR03432218317396377601,DEM
AR03435575332554407937,REP
AR03438647368042414081,DEM
AR03444005082046136321,DEM
AR03445736812859883521,REP
AR03448295376417718273,REP
AR03448351107913351169,DEM
AR03449312424673411073,REP
AR03450702413529350145,DEM
AR03452598315173019649,DEM
AR03454736315533230081,DEM
AR03459239915160600577,REP
AR03461491714974285825,DEM
AR03468478286735081473,REP
AR03471771049182363649,DEM
AR03472278679957012481,REP
AR03476409888739950593,REP
AR03478333140735361025,REP
AR03482748573274079233,REP
AR03485125373815947265,REP
AR03490065273401114625,DEM
AR03490765112552194049,REP
AR03494424287249432577,REP
AR03495268712179564545,DEM
AR03495499815779827713,REP
AR03496001193082093569,REP
AR03499070823388413953,REP
AR03499618586337476609,DEM
AR03503114827155374081,DEM
AR03504275911434305537,DEM
AR03508779511061676033,REP
AR03510270723706847233,DEM
AR03510769077352136705,REP
AR03515534910502731777,DEM
AR03516921600823787521,DEM
AR03521445885013655553,REP
AR03526793909571158017,DEM
AR03530724663640457217,DEM
AR03533549309012213761,DEM
AR03540304708453269505,DEM
AR03553815507335380993,DEM
AR03554841901439909889,REP
AR03557558519794237441,DEM
AR03559552415411732481,REP
AR03559591241916088321,REP
AR03561661622311190529,REP
AR03562822706590121985,DEM
AR03563084940113346561,REP
AR03565896047748186113,REP
AR03566384024752488449,REP
AR03567410143979110401,REP
AR03578777925979209729,DEM
AR03579088056977719297,REP
AR03580076517931089921,REP
AR03593795605547188225,DEM
AR03598851503609085953,DEM
AR03599358584627920897,DEM
AR03602510678306324481,DEM
AR03602962783743770625,REP
AR03615396404828045313,DEM
AR03618635016327659521,DEM
AR03623621301559623681,REP
